,0,1,2,3,4
0,1628998200000,47131.28,47131.28,47131.28,47131.28
1,1629000000000,47184.5,47299.67,46923.97,46923.97
2,1629001800000,46810.78,46810.78,46632.04,46701.05
3,1629003600000,46755.63,46797.5,46745.51,46745.51
4,1629005400000,46723.12,46850.25,46720.34,46799.33
5,1629007200000,46775.54,46775.54,46616.89,46630.59
6,1629009000000,46618.02,46673.44,46464.68,46464.68
7,1629010800000,46479.38,46551.12,46477.16,46478.21
8,1629012600000,46417.96,46417.96,46223.54,46293.7
9,1629014400000,46316.03,46316.03,45756.97,45756.97
10,1629016200000,45704.01,45890.04,45666.39,45818.89
11,1629018000000,45796.07,45914.99,45796.07,45812.2
12,1629019800000,45841.56,46022.26,45791.12,45954.95
13,1629021600000,45940.34,46167.7,45940.34,46111.4
14,1629023400000,46109.91,46181.6,46061.15,46061.15
15,1629025200000,46047.41,46047.41,45894.91,45945.98
16,1629027000000,45918.12,45918.12,45825.44,45829.37
17,1629028800000,45874.2,46138.63,45874.2,46060.59
18,1629030600000,45970.07,46091.54,45905.13,45905.13
19,1629032400000,45866.92,45873.19,45785.08,45873.19
20,1629034200000,45862.7,45995.1,45862.7,45972.74
21,1629036000000,45934.29,46039.08,45669.18,46039.08
22,1629037800000,46068.74,46470.81,46068.74,46444.18
23,1629039600000,46441.76,46441.76,45952.15,45960.88
24,1629041400000,45970.79,46060.61,45970.79,46060.61
25,1629043200000,46041.18,46172.8,45975.51,46172.8
26,1629045000000,46220.01,46336.84,46121.11,46131.77
27,1629046800000,46138.0,46138.0,45988.46,45988.46
28,1629048600000,45930.62,45930.62,45681.69,45681.69
29,1629050400000,45835.23,46106.6,45835.23,46098.0
30,1629052200000,46057.87,46071.34,46026.61,46037.61
31,1629054000000,46007.75,46273.2,45995.22,46260.06
32,1629055800000,46296.72,46296.72,46170.86,46170.86
33,1629057600000,46189.93,46410.02,46189.93,46410.02
34,1629059400000,46358.52,46465.91,46315.13,46465.91
35,1629061200000,46590.93,46642.0,46587.22,46642.0
36,1629063000000,46685.97,46826.91,46685.97,46813.79
37,1629064800000,46783.53,46977.98,46645.49,46934.28
38,1629066600000,46942.84,47146.06,46942.84,47146.06
39,1629068400000,47134.64,47210.95,47134.64,47207.16
40,1629070200000,47219.15,47219.15,47110.48,47110.48
41,1629072000000,47037.29,47052.63,46969.15,47025.0
42,1629073800000,47088.29,47603.45,47088.29,47603.45
43,1629075600000,47628.47,47859.93,47628.47,47658.49
44,1629077400000,47602.16,47602.16,47486.89,47486.89
45,1629079200000,47502.76,47624.55,47502.76,47589.89
46,1629081000000,47640.77,47718.43,47602.48,47603.49
47,1629082800000,47594.63,47862.15,47557.41,47862.15
48,1629084600000,47883.18,47883.18,47593.77,47593.77
