,prices,market_caps,total_volumes
0,"[1597536000000, 11864.905810156475]","[1597536000000, 219049736823.3334]","[1597536000000, 21285690552.515503]"
1,"[1597622400000, 11901.776488302461]","[1597622400000, 219750735622.69547]","[1597622400000, 19209711614.40851]"
2,"[1597708800000, 12272.465808160425]","[1597708800000, 226536103501.8635]","[1597708800000, 25481896190.555748]"
3,"[1597795200000, 11949.610970628193]","[1597795200000, 220980135332.21396]","[1597795200000, 24825715158.705486]"
4,"[1597881600000, 11733.278970862082]","[1597881600000, 216660276172.5052]","[1597881600000, 23384200655.888924]"
5,"[1597968000000, 11861.83657727968]","[1597968000000, 219044968220.88754]","[1597968000000, 20353349054.591465]"
6,"[1598054400000, 11515.124298729217]","[1598054400000, 212896669545.7498]","[1598054400000, 23406354443.011192]"
7,"[1598140800000, 11676.385305081287]","[1598140800000, 215641597239.98148]","[1598140800000, 19572783953.57896]"
8,"[1598227200000, 11647.928120934363]","[1598227200000, 215347356765.4613]","[1598227200000, 18467219109.184135]"
9,"[1598313600000, 11758.828120368864]","[1598313600000, 217410678530.35837]","[1598313600000, 20061559392.103256]"
10,"[1598400000000, 11350.753473213]","[1598400000000, 209658632328.37]","[1598400000000, 23423332918.936924]"
11,"[1598486400000, 11465.002564032086]","[1598486400000, 211778947737.22385]","[1598486400000, 20869928785.800804]"
12,"[1598572800000, 11300.398363810944]","[1598572800000, 208747591910.15524]","[1598572800000, 21595917446.043972]"
13,"[1598659200000, 11519.118388160729]","[1598659200000, 212799723684.94672]","[1598659200000, 19271253870.82992]"
14,"[1598745600000, 11481.481823317012]","[1598745600000, 212114842611.5429]","[1598745600000, 18415439613.538937]"
15,"[1598832000000, 11701.004008657852]","[1598832000000, 216179629567.18042]","[1598832000000, 19909556666.601448]"
16,"[1598918400000, 11672.324104943627]","[1598918400000, 215921598551.33038]","[1598918400000, 21077276617.8664]"
17,"[1599004800000, 11895.225345345636]","[1599004800000, 221315690777.34525]","[1599004800000, 25232603061.53493]"
18,"[1599091200000, 11418.254756916149]","[1599091200000, 210746091569.71368]","[1599091200000, 26038738388.798878]"
19,"[1599177600000, 10197.459822768922]","[1599177600000, 188438095255.46017]","[1599177600000, 49411126240.51858]"
20,"[1599264000000, 10484.470392265588]","[1599264000000, 194040447575.93134]","[1599264000000, 27623487077.06882]"
21,"[1599350400000, 10177.789718049991]","[1599350400000, 188092098308.3525]","[1599350400000, 56430042198.69171]"
22,"[1599436800000, 10260.0177277544]","[1599436800000, 189621410257.03525]","[1599436800000, 28801019507.333485]"
23,"[1599523200000, 10359.445216989981]","[1599523200000, 191501904758.68698]","[1599523200000, 26560146962.23275]"
24,"[1599609600000, 10125.014956069688]","[1599609600000, 186825391248.7263]","[1599609600000, 47780699209.09236]"
25,"[1599696000000, 10230.154699360752]","[1599696000000, 188757938083.84296]","[1599696000000, 21357083446.312523]"
26,"[1599782400000, 10342.159391205681]","[1599782400000, 191180566587.0585]","[1599782400000, 77545788530.61436]"
27,"[1599868800000, 10378.223044584596]","[1599868800000, 192111562749.9339]","[1599868800000, 20796810115.947914]"
28,"[1599955200000, 10439.38467226404]","[1599955200000, 192997988416.4807]","[1599955200000, 19955498078.251053]"
29,"[1600041600000, 10328.866065987393]","[1600041600000, 190922719938.2308]","[1600041600000, 21057424433.480133]"
30,"[1600128000000, 10661.096235144483]","[1600128000000, 197010021430.2403]","[1600128000000, 23526143436.490395]"
31,"[1600214400000, 10787.58020807624]","[1600214400000, 199044338127.62628]","[1600214400000, 23802088944.396893]"
