,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,47674.0,894864610584,1,1000247229237.0,35155077801,47883.0,45666.0,542.34,1.1507,9566537093.0,1.0806,18787512.0,21000000.0,21000000.0,64805.0,-26.55823,2021-04-14T11:54:46.763Z,67.81,70087.93481,2013-07-06T00:00:00.000Z,,2021-08-16T03:24:12.636Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3296.63,385798396134,2,,25427764031,3333.87,3117.23,29.41,0.90017,3286827531.0,0.85928,117123551.749,,,4356.99,-24.45418,2021-05-12T14:41:48.623Z,0.432979,760104.34864,2015-10-20T00:00:00.000Z,"{'times': 91.42888356810431, 'currency': 'btc', 'percentage': 9142.888356810432}",2021-08-16T03:24:41.047Z
2,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2.14,68557675344,3,96209624038.0,4914735063,2.19,2.07,-0.030949063685,-1.42646,-691607524.8052368,-0.99872,32066390668.4135,45000000000.0,45000000000.0,2.45,-12.63459,2021-05-16T07:44:28.033Z,0.01925275,10997.13353,2020-03-13T02:22:55.044Z,,2021-08-16T03:24:38.280Z
3,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,414.81,64055128573,4,70687224848.0,1632544415,418.82,397.11,6.19,1.51556,949729784.0,1.50499,154533651.9,170533651.9,170533651.9,686.31,-39.64409,2021-05-10T07:24:17.097Z,0.0398177,1040207.73041,2017-10-19T00:00:00.000Z,,2021-08-16T03:24:26.273Z
4,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,63926006572,5,,66515674857,1.01,0.991489,0.00058923,0.05893,500947548.0,0.78983,63898735031.2064,63898735031.2064,,1.32,-24.3874,2018-07-24T00:00:00.000Z,0.572521,74.74063,2015-03-02T00:00:00.000Z,,2021-08-16T03:05:20.998Z
5,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.3,60147867212,6,129579856100.0,10179460365,1.33,1.24,-0.027235467868,-2.0572,-1132631372.539566,-1.84827,46417606117.0,100000000000.0,100000000000.0,3.4,-61.91397,2018-01-07T00:00:00.000Z,0.00268621,48084.4731,2014-05-22T00:00:00.000Z,,2021-08-16T03:24:46.473Z
6,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.336796,44021695822,7,,6296783850,0.344109,0.28988,0.03172424,10.39896,4124751302.0,10.33851,130882104449.329,,,0.731578,-54.09526,2021-05-08T05:08:23.458Z,8.69e-05,386337.90232,2015-05-06T00:00:00.000Z,,2021-08-16T03:24:20.362Z
7,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.997784,27568990857,8,,2373526785,1.01,0.994164,-0.0011880375,-0.11893,-103932089.31280518,-0.37557,27659538122.5576,27668934407.5576,,1.17,-15.08071,2019-05-08T00:40:28.300Z,0.891848,11.66182,2021-05-19T13:14:05.611Z,,2021-08-16T03:24:41.397Z
8,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,23.29,23737802811,9,,994704798,23.43,21.9,0.387615,1.69272,359623358.0,1.53829,1021295135.76981,1102232640.98781,,49.35,-52.89943,2021-05-15T03:59:58.961Z,2.7,761.68811,2020-08-20T05:48:11.359Z,,2021-08-16T03:24:49.239Z
9,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,55.94,15972563977,10,27260982274.0,1785314149,56.81,43.5,10.85,24.04913,3059076454.0,23.689,286295028.429889,488630611.0,488630611.0,58.03,-3.8653,2021-05-18T16:59:08.690Z,0.500801,11040.27407,2020-05-11T19:35:23.449Z,,2021-08-16T03:24:49.202Z
10,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,30.14,15666232726,11,30135635433.0,423654468,30.48,28.35,0.113403,0.37768,2022010.0,0.01291,519857388.1320768,1000000000.0,1000000000.0,44.92,-32.96171,2021-05-03T05:25:04.822Z,1.03,2823.03939,2020-09-17T01:20:38.214Z,,2021-08-16T03:25:11.830Z
11,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,706.25,13276585664,12,14815255884.0,4699198431,711.26,676.31,7.58,1.08526,132645404.0,1.00918,18818999.8967892,21000000.0,21000000.0,3785.82,-81.37354,2017-12-20T00:00:00.000Z,76.93,816.57381,2018-12-16T00:00:00.000Z,,2021-08-16T03:24:51.447Z
12,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,28.03,12479011943,13,27979248053.0,1033199850,28.32,25.94,0.659678,2.41055,290197474.0,2.38085,446009553.9174637,1000000000.0,1000000000.0,52.7,-46.94733,2021-05-10T00:13:57.214Z,0.148183,18766.48119,2017-11-29T00:00:00.000Z,,2021-08-16T03:25:07.808Z
